제품명,평점,최저가,배송비
2021년형리하스 올스텐 KHD-16L,평점4.7,"129,000",무료배송리하스
원더스리빙 원더스 쿡킹 A7 올스텐,평점4.8,"129,000",무료배송원더스리빙
원더스리빙 원더스 쿡킹 A9올스텐,평점4.8,"199,000",무료배송원더스리빙
일리 프란시스 Y3.3,평점4.8,"121,890","배송비 3,000원옥션"
삼성전자 비스포크 RF85A9103AP,평점4.9,"1,370,000",무료배송하이마트쇼핑몰
삼성전자 비스포크 RB33A3004AP (색상선택),평점4.8,"609,000",무료배송하이마트쇼핑몰
삼성전자 삼성 RS84T5081SA,평점4.8,"1,212,800",무료배송11번가
삼성전자 비스포크 RF85A9001AP (색상선택),평점4.8,"1,704,020",무료배송11번가
아이프리 레가토 시그널,평점5,"169,000",무료배송아이프리 스토어
네스프레소 버츄오 플러스,평점4.8,"229,000",무료배송쿠팡
바란 분유포트,평점5,"69,000",무료배송비비딕
쿠쿠 CRP-LHTR0610FW 트윈프레셔,평점4.8,"402,160","배송비 5,000원티몬"
LG전자 오브제컬렉션 DUBJ2EA,평점4.9,"1,320,700","배송비 30,000원11번가"
쿠쿠 CRP-DHP0610FD,평점4.7,"214,730","배송비 5,000원티몬"
네스프레소 에센자 미니 C30,평점4.9,"125,600",무료배송오케이몰
쿠쿠전자 쿠쿠 CRP-CHP1010FD,평점4.7,"255,520",무료배송티몬
휴렉 HD-9000SD,평점4.8,"890,000",무료배송HULEC
2021년형발뮤다 더 토스터 K05B (2021년형),평점4.9,"247,020",무료배송G9
2020년형스마트카라 PCS-400,평점4.7,"667,830",무료배송니즈라이프몰
렌탈LG전자 LG퓨리케어 WD102AW(렌탈),평점4.9,"18,800",무료배송LG퓨리케어판매처
LG전자 디오스 DUB22MA,평점4.8,"1,193,000",무료배송11번가
네스프레소 시티즈 D113,평점4.9,"209,900",무료배송우리아가
렌탈LG전자 LG퓨리케어 WD502AW(렌탈),평점5,"27,800",무료배송LG퓨리케어판매처
메디니스 KDW-002,평점5,"44,800",무료배송메디니스
삼성전자 비스포크 RF85A911155 (글램화이트+글램핑크),평점5,"1,849,990",무료배송옥션
메디니스 KDW-001,평점5,"44,800",무료배송메디니스
2020년형락앤락 EJF881,평점4.7,"128,990",무료배송G마켓
렌탈SK매직 WPU-2100C(렌탈),평점4.8,"16,800",무료배송SK365공식매직렌탈몰
LG전자 디오스 F873S11E,평점4.8,"1,592,020",무료배송티몬
쿠쿠전자 쿠쿠 CRP-ST1010FW 트윈프레셔,평점4.5,"235,690","배송비 5,000원티몬"
LG전자 디오스 K415S14E (2021년형),평점4.8,"1,485,000",무료배송종합김치냉장고몰
삼성전자 삼성 MS23K3513AW,평점4.6,"82,710",무료배송쿠팡
블루텍 까사카페 CFA3000,평점4.7,"450,000",무료배송까사카페 공식몰
렌탈쿠쿠 CP-F602HW(렌탈),평점5,"15,900",무료배송쿠쿠공식스토어몰
렌탈LG전자 LG퓨리케어 WD503AS(렌탈),평점4.9,"32,800",무료배송LG퓨리케어판매처
렌탈SK매직 WPU-2200C(렌탈),평점4.8,"18,800",무료배송SK365공식매직렌탈몰
삼성전자 삼성 더플레이트 NZ60R7703PW,평점4.8,"229,000",무료배송하우스앱
삼성전자 비스포크 RWP71411AAP,평점4.8,"948,550",무료배송11번가
렌탈쿠쿠 CP-F602SW(렌탈),평점5,"15,900",무료배송직영센터샵
디앤더블유 안방그릴 AB301MF,평점4.6,"158,004",무료배송다다픽
렌탈LG전자 LG퓨리케어 WU900AS(렌탈),평점5,"37,800",무료배송LG퓨리케어판매처
2021년형아이닉 AO-16L,평점4.8,"178,000",무료배송아이닉샵
필립스 HD9200/90,평점4.8,"69,900","배송비 20,000원워너스토어"
맥널티 MCM-6851,평점4.7,"159,000",무료배송맥널티
삼성전자 비스포크 NZ63T8708XW,평점4.8,"943,520",무료배송티몬
2021년형포에스텍 에어프리 P72-4590,평점4.7,"266,000",무료배송에어프리
브리타 마렐라XL,평점4.8,"24,600","배송비 2,500원퓨어바이코리아"
드롱기 ECAM22.110.B,평점4.8,"499,800",무료배송바이킹몰
삼성전자 비스포크 RQ48T94C1AP (2021년형),평점4.7,"1,438,000",무료배송종합김치냉장고몰
삼성전자 삼성 ZRS25LSLH,평점4.8,"540,120","배송비 30,000원옥션"
쿠쿠전자 쿠쿠 CDW-A0611TW,평점4.7,"255,780",무료배송C.A 그린
쿠쿠전자 쿠쿠 CRP-QS1010FG,평점4.7,"114,190","배송비 30,000원11번가"
렌탈LG전자 LG퓨리케어 WU800AS(렌탈),평점4.9,"34,900",무료배송LG공식온라인몰
2021년형라익미 위아래더블히팅 V15,평점5,"149,000","배송비 5,000원24아워스"
LG전자 디오스 S831SN75,평점4.7,"1,423,000",무료배송벨힐
LG전자 MW22CD9,평점4.7,"105,830","배송비 5,000원11번가"
2021년형삼성전자 비스포크 RQ33T74A1AP (2021년형),평점4.8,"1,304,100",무료배송LFmall
삼성전자 비스포크 RF60A91C3AP,평점4.9,"2,050,000",무료배송하이마트쇼핑몰
삼성전자 삼성 DW60T8075FG,평점4.8,"832,780",무료배송11번가
렌탈SK매직 WPU-A900C(렌탈),평점4.8,"23,900",무료배송SK매직렌탈신청
디바인바이오 디디오랩 DAP-I14DH,평점4.7,"238,800",무료배송11번가
렌탈LG전자 LG퓨리케어 WD503AW(렌탈),평점5,"32,900",무료배송LG퓨리케어판매처
데일리아이템 올스텐 304 데일리에어프라이어,평점4.8,"218,000",무료배송DAILYITEM
아인 보르르 분유포트,평점4.8,"95,000",무료배송보르르
렌탈코웨이 CHP-264L(렌탈),평점4.6,"29,900",무료배송코웨이공식스토어몰
피코그램 퓨리얼 PPA-100,평점4.8,"169,000",무료배송퓨리얼
렌탈LG전자 LG퓨리케어 WD502AP(렌탈),평점4.9,"27,900",무료배송LG퓨리케어판매처
한미프렉시블 끌리네어 BPR-200,평점4.8,"740,000",무료배송ccleanare
삼성전자 삼성 RS84T5071SL,평점4.7,"966,000","배송비 30,000원11번가"
코렐 인스턴트팟 VORTEX PLUS,평점4.9,"139,000",무료배송G마켓
렌탈LG전자 LG퓨리케어 WD503AP(렌탈),평점4.9,"32,900",무료배송LG퓨리케어판매처
쿠쿠 CRP-KHTS1060FD 트윈프레셔,평점4.7,"307,430","배송비 5,000원티몬"
LG전자 M349SE,평점4.8,"626,350",무료배송옥션
브리타 막스트라 플러스 필터,평점4.8,"5,040","배송비 2,500원퓨어바이코리아"
삼성전자 삼성 MS23K3513AK,평점4.7,"77,900","배송비 30,000원헬로앤바이"
SK매직 IHR-B310E,평점4.7,"495,930",무료배송가전제로
LG전자 디오스 DFB22MA,평점4.8,"985,000",무료배송종합김치냉장고몰
쿠쿠 CRP-EHS0320FW,평점4.7,"221,120","배송비 5,000원티몬"
LG전자 디오스 K330SS19E (2021년형),평점4.8,"1,138,000",무료배송종합김치냉장고몰
렌탈SK매직 WPU-A1100C (렌탈),,"30,900",무료배송SK매직공식렌탈몰
대경트라움 웰릭스 DK-W2020,평점4.6,"985,590",무료배송옥션
삼성전자 삼성 RS84T5041WW,평점4.8,"915,050",무료배송11번가
2021년형위니아딤채 딤채 EDS11EFMKSS (2021년형),평점4.7,"606,870",무료배송11번가
쿠첸 121 CRT-RPK0670W 2.1기압 잡곡밥솥,평점4.8,"328,990",무료배송옥션
삼성전자 삼성 RZ21H4000WW,평점4.8,"346,680","배송비 30,000원11번가"
해외네스프레소 버츄오 플러스,평점4.8,"137,710","배송비 12,160원 포함Qoo10"
LG전자 ML32EW1,평점4.7,"613,390",무료배송티몬
LG전자 디오스 DUB22SA,평점4.8,"1,089,360",무료배송11번가
드롱기 아이코나 ECOV-311,평점4.6,"229,900",무료배송바이킹몰
2021년형위니아딤채 딤채 EDT33EFRZKT (2021년형),평점4.8,"1,133,650",무료배송11번가
듀플렉스 DP-AF60,평점4.8,"84,000",무료배송듀플렉스몰
렌탈SK매직 WPU-I220C(렌탈),평점5,"41,900",무료배송SK매직공식렌탈몰
LG전자 A320S,평점4.8,"796,620",무료배송G마켓
렌탈SK매직 WPU-A700C(렌탈),평점5,"28,900",무료배송SK매직공식렌탈몰
쿠쿠전자 쿠쿠 CMW-A201DB,평점4.6,"53,900","배송비 25,000원바잉오피스"
삼성전자 삼성 RT25NARAHS8,평점4.8,"361,420","배송비 30,000원BS가전유통"
2020년형SK매직 DWA-19R0P,평점4.7,"693,500",무료배송가전제로
해외일리 Y3.3,평점4.8,"97,800",무료배송유로토탈
삼성전자 비스포크 MS23T5018AW,평점4.7,"149,000",무료배송오늘의집
렌탈휴렉 HB-1000HM,평점5,"39,800",무료배송CJ온스타일
